	4112_bc1008--bc1075	4128_bc1005--bc1107	4170_bc1005--bc1096	4285_bc1022--bc1107	4296_bc1022--bc1060	4356_bc1005--bc1112
4112_bc1008--bc1075	0	0.02431625648950359	0.006783863644546449	0.01188309859323162	0.02899563237373349	0.009147263022443248
4128_bc1005--bc1107	0.02431625648950359	0	0.01865057565711091	0.01667660077964825	0.006515727713997695	0.01685111620821902
4170_bc1005--bc1096	0.006783863644546449	0.01865057565711091	0	0.007021894611207394	0.02377300860512196	0.003989615572137554
4285_bc1022--bc1107	0.01188309859323162	0.01667660077964825	0.007021894611207394	0	0.02007663969598136	0.004736385838001304
4296_bc1022--bc1060	0.02899563237373349	0.006515727713997695	0.02377300860512196	0.02007663969598136	0	0.02170223907049891
4356_bc1005--bc1112	0.009147263022443248	0.01685111620821902	0.003989615572137554	0.004736385838001304	0.02170223907049891	0
